   0.7421  0.008590   19.09 0.31 0.24   19.5 uvw2
   1.1078  0.012822   20.03 0.35 0.26   38.9 uvw2
   1.4565  0.016857   20.15 0.38 0.28   38.9 uvw2
   1.8051  0.020892   20.25 0.41 0.29   38.9 uvw2
   3.7481  0.043381   19.69 0.13 0.12  201.9 uvw2
   6.7796  0.078467   19.76 0.13 0.12  196.6 uvw2
  12.3903  0.143406   19.73 0.08 0.07  885.6 uvw2
  19.0312  0.220269   19.97 0.09 0.08  694.0 uvw2
  41.7973  0.483765   20.94 0.12 0.11  885.6 uvw2
  66.4377  0.768955   21.53 0.13 0.11 1545.4 uvw2
  98.1442  1.135928   21.35 0.11 0.10 1771.1 uvw2
 125.9306  1.457531   21.29 0.11 0.10 1251.9 uvw2
 182.0334  2.106868   22.50 0.40 0.29  629.6 uvw2
 193.5038  2.239628   22.23 0.33 0.25  629.4 uvw2
 226.1226  2.617160   22.33 0.52 0.35  317.4 uvw2
 239.7042  2.774354   23.02 0.64 0.40  629.5 uvw2
 251.2788  2.908319   22.71 0.48 0.33  629.4 uvw2
 283.8576  3.285389   22.77 0.47 0.33  629.4 uvw2
 318.8226  3.690077   23.37 0.72 0.43  818.8 uvw2
 341.4149  3.951561 > 22.47            794.8 uvw2
 387.4843  4.484772   23.20 0.65 0.40  814.5 uvw2
 436.5836  5.053051   23.10 0.39 0.29 1129.4 uvw2
 474.2490  5.488994   22.91 0.69 0.42  440.5 uvw2
   0.6183  0.007157   19.03 0.40 0.29   19.5 uvm2
   0.7907  0.009152   19.21 0.45 0.32   19.5 uvm2
   1.1569  0.013390   19.82 0.41 0.30   38.9 uvm2
   1.5056  0.017426   19.49 0.34 0.26   38.8 uvm2
   1.8540  0.021458   18.97 0.26 0.21   38.9 uvm2
   5.7528  0.066583   19.82 0.18 0.15  196.6 uvm2
   7.1892  0.083209   19.11 0.12 0.11  196.6 uvm2
  24.0487  0.278342   19.78 0.09 0.08  885.6 uvm2
  78.9216  0.913445   20.96 0.14 0.12 1086.6 uvm2
  93.2926  1.079776   21.04 0.12 0.11 1515.0 uvm2
 122.9344  1.422852   21.49 0.14 0.12 1615.7 uvm2
 188.0702  2.176739   22.39 0.76 0.44  326.7 uvm2
 217.0329  2.511955   21.62 0.32 0.25  430.3 uvm2
 246.5969  2.854131   22.39 0.20 0.17 2541.1 uvm2
