#Table 6
#2MASS-system JHK Magnitudes of SN 2010as from GROND
#UT date	JD	J	H	K	
# yyyy-mm-dd)	 -2400000)	 mag)	 mag)	 mag)	
2010-03-21.89	55277.39	15.385 055 	15.607 068 	15.774 152 	
2010-03-22.85	55278.35	15.149 025 	15.130 046 	15.302 082 	
2010-03-24.89	55280.39	15.097 017 	14.982 030 	15.082 071 	
2010-03-26.91	55282.41	14.956 016 	14.798 023 	14.804 056 	
2010-03-29.91	55285.41	14.667 012 	14.637 020 	14.513 044 	
2010-04-01.85	55288.36	14.512 014 	14.489 018 	14.413 043 	
2010-04-04.82	55291.32	 99 99 	 99 99 	14.296 042 	
2010-04-06.92	55293.42	14.413 013 	14.253 020 	14.352 043 	
2010-04-09.92	55296.42	14.384 013 	14.245 015 	14.286 037 	
2010-04-10.91	55297.41	14.374 011 	14.235 016 	14.374 039 	
2010-04-13.70	55300.20	14.468 013 	14.246 017 	 99 99 	
2010-04-16.72	55303.22	14.680 061 	14.399 094 	 99 99 	
2010-04-17.74	55304.24	14.623 014 	14.333 024 	 99 99 	
2010-04-20.90	55307.40	 99 99 	14.512 019 	 99 99 	
2010-04-23.92	55310.42	14.812 020 	14.499 023 	14.422 052 	
2010-04-25.91	55312.42	 99 99 	14.605 021 	14.441 039 	
2010-04-28.92	55315.42	 99 99 	14.659 023 	14.588 051 	
2010-05-02.92	55319.42	 99 99 	 99 99 	14.781 057 	
2010-05-07.93	55324.43	15.270 024 	14.967 038 	14.800 050 	
2010-05-10.87	55327.37	15.456 023 	15.011 030 	15.112 060 	
2010-05-19.76	55336.26	15.645 033 	15.266 036 	15.634 126 	
2010-05-22.71	55339.21	15.650 038 	15.357 049 	15.585 117 	
2010-05-29.70	55346.19	15.980 045 	15.674 065 	15.685 110 	
2010-06-01.71	55349.21	16.003 060 	15.757 087 	15.735 164 	
2010-06-04.55	55352.06	16.040 059 	16.001 097 	15.857 144 	
2010-06-11.70	55359.19	16.210 058 	16.106 100 	16.174 289 	
2010-06-13.46	55360.96	16.042 067 	15.900 110 	 99 99 	
2010-06-21.46	55368.96	16.273 096 	16.322 168 	 99 99 	
2010-06-29.58	55377.08	16.442 107 	16.246 121 	16.756 259 	
2010-07-11.49	55388.99	16.610 072 	 99 99 	 99 99 	
2010-07-19.46	55396.96	17.168 143 	16.945 281 	 99 99 	
2010-07-29.47	55406.97	17.245 153 	 99 99 	 99 99 	
2010-09-14.48	55453.98	17.240 217 	 99 99 	 99 99 	
2011-02-17.89	55610.39	18.163 328 	 99 99 	 99 99 	
#Note. Uncertainties in parentheses are given in thousandth of a magnitude.
