 1 18.531 0.020 17.232 0.009 16.042 0.010 15.277 0.010 14.655 0.015
 2 15.039 0.010 15.052 0.005 14.514 0.010 14.184 0.010 13.876 0.012
 3 16.904 0.020 16.400 0.011 15.544 0.013 15.047 0.011 14.614 0.009
 4 17.242 0.020 17.230 0.009 16.578 0.010 16.200 0.008 15.832 0.010
 5 18.158 0.030 17.684 0.014 16.857 0.014 16.384 0.015 15.961 0.008
 6 17.920 0.050 16.913 0.018 15.804 0.020 15.111 0.013 14.476 0.012
 7 16.492 0.030 15.544 0.007 14.431 0.007 13.835 0.005 13.300 0.010
 8 15.504 0.012 15.431 0.007 14.799 0.008 15.125 0.010 14.770 0.008
 9 14.186 0.010 14.247 0.010 13.675 0.005 13.339 0.009 13.010 0.013
10 13.916 0.010 13.876 0.006 13.234 0.010 12.858 0.010 12.457 0.011
