Table 6
Near-Infrared Photometry of SN 2008D

MJD (day)	Deltat (day)	J (mag)	H (mag)	K_s (mag)	
54474.35	-0.21	>18.15	>17.12	>16.18	
54475.27	0.71	17.00(03)	16.70(05)	17.09(12)	
54476.33	1.77	16.54(07)	16.22(09)	16.22(10)	
54477.34	2.78	16.45(07)	16.15(09)	16.13(15)	
54478.34	3.78	16.44(04)	16.05(09)	15.99(12)	
54479.38	4.82	16.38(10)	15.96(10)	15.81(10)	
54480.34	5.78	16.23(10)	15.86(10)	15.63(07)	
54481.32	6.76	15.99(10)	15.72(07)	15.55(02)	
54482.26	7.70	15.88(04)	15.55(00)	15.46(05)	
54483.32	8.76	15.74(08)	15.41(13)	15.21(06)	
54484.35	9.79	15.62(05)	15.31(05)	15.11(07)	
54485.31	10.75	15.51(02)	15.17(16)	15.05(13)	
54486.35	11.79	15.43(01)	15.12(05)	14.92(05)	
54497.19	22.63	15.00(04)	14.76(08)	14.53(03)	
54499.26	24.70	15.07(21)	14.73(03)	14.44(04)	
54505.20	30.64	15.11(05)	14.76(02)	14.54(11)	
54508.24	33.68	15.25(02)	14.86(01)	14.68(13)	
54509.22	34.66	15.24(05)	14.88(03)	14.68(05)	
54510.25	35.69	15.32(04)	14.89(06)	14.68(03)	
