Table 2
CAO Photometry

UT Date	MJD	B (err)	V (err)	R (err)	I (err)	
		(mag)	(mag)	(mag)	(mag)	
2013 Nov 12	56,608.5	cdots	15.62 (0.09)	15.67 (0.13)	15.43 (0.22)	
2013 Nov 22	56,618.5	15.51 (0.10)	14.88 (0.08)	14.70 (0.05)	14.41 (0.05)	
2013 Nov 23	56,619.5	15.46 (0.09)	14.80 (0.07)	14.55 (0.04)	14.33 (0.06)	
2013 Nov 24	56,620.5	15.53 (0.09)	14.83 (0.07)	14.51 (0.06)	14.30 (0.05)	
2013 Nov 25	56,621.5	15.64 (0.14)	14.87 (0.06)	14.68 (0.06)	14.35 (0.08)	
2013 Nov 26	56,622.5	15.63 (0.09)	14.82 (0.10)	14.66 (0.05)	14.33 (0.05)	
2013 Nov 28	56,624.5	15.83 (0.10)	14.94 (0.06)	14.58 (0.04)	14.25 (0.05)	
2013 Nov 29	56,625.5	15.93 (0.12)	14.96 (0.10)	14.58 (0.05)	14.27 (0.06)	
2013 Dec 5	56,631.5	cdots	15.41 (0.14)	14.80 (0.10)	14.42 (0.16)	
2013 Dec 11	56,637.5	cdots	15.60 (0.21)	14.98 (0.15)	14.56 (0.19)	
2013 Dec 12	56,638.5	cdots	15.85 (0.09)	15.09 (0.06)	14.63 (0.09)	
2013 Dec 14	56,640.5	cdots	15.87 (0.09)	15.10 (0.06)	14.64 (0.09)	

Note. Data are presented in the Bessell photometric system.
